job,node,date,head,libmpiwrap,src_md5,warmup,iters,np,accum,mode,order,rep,gbps
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,single,1536,2,812.1765
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,buffered,1536,2,398.7698
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,gpumpi,1536,2,423.7195
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,staged,1536,2,81.5703
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvdirect,1536,2,6.9137
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvsingle,1536,2,1.3443
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvbuffered,1536,2,8.0497
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,direct,1536,3,375.6049
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,single,1536,3,816.9468
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,buffered,1536,3,399.2717
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,gpumpi,1536,3,423.4177
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,staged,1536,3,85.5050
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvdirect,1536,3,136.8890
90161,h200x4-04,2026-09-09T01:03:34-04:00,e887c22,95a4607,e3ed77dba57aece0a1c7097b6623dddc,20,100,4,1,nvsingle,1536,3,120.4718
